Download Winning Numbers from www.calottery.com on 7/4/2018 5:18:47 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

1360     Tue. Jul 03, 2018          13          35          45          49          68          23     
1359     Fri. Jun 29, 2018          2          32          47          49          68          23     
1358     Tue. Jun 26, 2018          17          25          29          39          60          19     
1357     Fri. Jun 22, 2018          2          6          11          27          44          20     
1356     Tue. Jun 19, 2018          11          13          28          65          70          14     
1355     Fri. Jun 15, 2018          1          11          37          47          51          6     
1354     Tue. Jun 12, 2018          1          3          5          8          70          3     
1353     Fri. Jun 08, 2018          14          30          33          44          56          13     
1352     Tue. Jun 05, 2018          22          33          41          48          52          4     
1351     Fri. Jun 01, 2018          5          24          52          62          66          17     
1350     Tue. May 29, 2018          2          11          55          58          67          2     
1349     Fri. May 25, 2018          11          14          51          64          68          25     
1348     Tue. May 22, 2018          16          17          21          36          48          9     
1347     Fri. May 18, 2018          9          26          53          64          66          11     
1346     Tue. May 15, 2018          21          34          44          49          61          21     
1345     Fri. May 11, 2018          14          38          40          53          70          22     
1344     Tue. May 08, 2018          8          15          39          64          67          13     
1343     Fri. May 04, 2018          4          5          10          12          18          21     
1342     Tue. May 01, 2018          2          7          20          55          70          1     
1341     Fri. Apr 27, 2018          2          29          38          63          66          11     
1340     Tue. Apr 24, 2018          3          19          31          32          48          10     
1339     Fri. Apr 20, 2018          1          15          18          32          45          4     
1338     Tue. Apr 17, 2018          12          34          44          47          65          22     
1337     Fri. Apr 13, 2018          8          9          32          42          59          10     
1336     Tue. Apr 10, 2018          5          13          31          43          53          20     
1335     Fri. Apr 06, 2018          16          33          51          54          67          20     
1334     Tue. Apr 03, 2018          4          29          39          42          62          14     
1333     Fri. Mar 30, 2018          11          28          31          46          59          1     
1332     Tue. Mar 27, 2018          7          25          43          56          59          13     
1331     Fri. Mar 23, 2018          4          8          23          53          59          17     
1330     Tue. Mar 20, 2018          14          38          51          64          70          9     
1329     Fri. Mar 16, 2018          1          13          26          33          52          11     
1328     Tue. Mar 13, 2018          6          30          58          60          61          17     
1327     Fri. Mar 09, 2018          7          17          18          46          66          22     
1326     Tue. Mar 06, 2018          1          4          26          35          39          22     
1325     Fri. Mar 02, 2018          24          28          42          60          64          8     
1324     Tue. Feb 27, 2018          10          17          21          38          43          23     
1323     Fri. Feb 23, 2018          7          11          13          19          58          9     
1322     Tue. Feb 20, 2018          17          19          23          24          43          14     
1321     Fri. Feb 16, 2018          14          38          48          53          58          16     
1320     Tue. Feb 13, 2018          5          12          15          46          49          1     
1319     Fri. Feb 09, 2018          28          34          41          46          47          14     
1318     Tue. Feb 06, 2018          14          17          25          48          58          25     
1317     Fri. Feb 02, 2018          1          4          14          17          40          4     
1316     Tue. Jan 30, 2018          29          41          42          49          57          24     
1315     Fri. Jan 26, 2018          10          16          27          38          43          1     
1314     Tue. Jan 23, 2018          2          6          30          31          55          7     
1313     Fri. Jan 19, 2018          3          17          23          49          66          23     
1312     Tue. Jan 16, 2018          3          11          23          29          59          18     
1311     Fri. Jan 12, 2018          17          18          33          46          60          24     
1310     Tue. Jan 09, 2018          16          29          31          65          67          23     
1309     Fri. Jan 05, 2018          28          30          39          59          70          10     
1308     Tue. Jan 02, 2018          1          42          47          64          70          22     
1307     Fri. Dec 29, 2017          4          10          18          28          62          7     
1306     Tue. Dec 26, 2017          10          12          20          38          41          25     
1305     Fri. Dec 22, 2017          1          20          30          33          42          16     
1304     Tue. Dec 19, 2017          28          37          39          42          58          2     
1303     Fri. Dec 15, 2017          4          12          36          44          57          19     
1302     Tue. Dec 12, 2017          8          23          24          25          27          9     
1301     Fri. Dec 08, 2017          6          37          46          60          70          24     
1300     Tue. Dec 05, 2017          14          15          37          42          67          22     
1299     Fri. Dec 01, 2017          16          22          40          41          59          8     
